Wisconsin,13,Washington,10
Louisiana,42,Texas State,39
San José State,16,Air Force,26
Louisville,26,California,29
Virginia,9,Wake Forest,16
Clemson,24,Florida State,10
Alabama,20,LSU,9
Utah State,51,Nevada,14
Kentucky,38,Florida,7
Notre Dame,49,Navy,10
UCLA,21,Nebraska,28
Colorado State,10,UNLV,42
Oregon State,17,Sam Houston,21
Hawai'i,38,San Diego State,6
Akron,35,Kent State,42
Western Michigan,17,Ohio,13
Central Michigan,38,Buffalo,19
Miami (OH),3,Toledo,24
Massachusetts,3,Northern Illinois,45
Old Dominion,33,Troy,0
Louisville,19,Clemson,20
Oregon,42,Minnesota,13
Pittsburgh,15,Notre Dame,37
Oklahoma State,6,Kansas State,14
Ball State,9,Eastern Michigan,24
Indiana,31,Wisconsin,7
Cincinnati,24,Arizona,30
Northwestern,22,Michigan,24
Texas A&M,31,South Carolina,30
UConn,26,Air Force,16
Charlotte,7,UTSA,28
Navy,41,South Florida,38
LSU,23,Arkansas,22
Tulsa,31,Oregon State,14
Arizona State,25,West Virginia,23
Georgia State,18,Marshall,30
UAB,24,North Texas,53
Missouri State,38,UTEP,24
New Mexico,20,Colorado State,17
Miami,41,NC State,7
Illinois,24,Maryland,6
USC,26,Iowa,21
Duke,17,Virginia,34
Boston College,34,Georgia Tech,36
Michigan State,10,Penn State,28
James Madison,58,App State,10
Alabama,21,Oklahoma,23
Nevada,55,San José State,10
Texas Tech,48,UCF,9
Western Kentucky,42,Middle Tennessee,26
Southern Miss,14,Texas State,41
UL Monroe,14,South Alabama,26
Tulane,35,Florida Atlantic,24
East Carolina,31,Memphis,27
Tennessee,42,New Mexico State,9
Wake Forest,28,North Carolina,12
Florida International,34,Liberty,27
Georgia Southern,45,Coastal Carolina,40
Baylor,28,Utah,55
UNLV,29,Utah State,26
Ole Miss,34,Florida,24
Sam Houston,26,Delaware,23
Washington,49,Purdue,13
Florida State,34,Virginia Tech,14
Georgia,35,Texas,10
Ohio State,48,UCLA,10
Missouri,49,Mississippi State,27
Jacksonville State,35,Kennesaw State,26
Washington State,28,Louisiana Tech,3
BYU,44,TCU,13
Fresno State,24,Wyoming,3
San Diego State,17,Boise State,7
Northern Illinois,19,Western Michigan,35
Bowling Green,16,Akron,19
Ohio,42,Massachusetts,14
Kent State,16,Central Michigan,28
Buffalo,20,Miami (OH),37
Arkansas State,30,Louisiana,34
NC State,21,Florida State,11
UNLV,38,Hawai'i,10
Northwestern,38,Minnesota,35
Ohio State,42,Rutgers,9
